                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.1149,                 26.872,                 2.7319,                0.21929,                0.37204,                0.11421,                0.03934,                 2.1252,                 26.424,                  1.461,             0.00066491,             0.00066491,             0.00066491
                      1,                 2.7355,                 2.8025,                 1.8971,                0.67055,                0.59575,                0.64053,                0.23754,                 1.6036,                 4.1551,                 1.0603,              0.0013184,              0.0013184,              0.0013184
                      2,                 2.2736,                  1.492,                 1.6215,                0.74136,                0.55238,                0.69111,                0.30197,                 1.4195,                 1.6363,                0.91137,              0.0019587,              0.0019587,              0.0019587
                      3,                 2.0972,                  1.211,                 1.4657,                0.77671,                0.68055,                0.79433,                 0.3633,                 1.3383,                0.72797,                  0.826,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.8797,                  1.088,                 1.3076,                0.78385,                0.75988,                0.82085,                0.41259,                 1.2216,                0.82766,                 0.7503,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7957,                 1.0384,                  1.232,                0.85148,                 0.8225,                0.87459,                0.37156,                 1.2807,                 1.2564,                0.72232,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7486,                0.99155,                 1.1742,                0.84756,                0.86991,                0.90314,                 0.4986,                 1.0705,                0.77434,                0.69828,               0.001901,               0.001901,               0.001901
                      7,                 1.6108,                0.91015,                 1.1071,                0.86614,                 0.8575,                0.91551,                0.49939,                 1.0829,                0.72863,                0.68426,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6089,                0.91336,                 1.0945,                 0.8063,                0.82368,                0.88955,                0.46878,                 1.0392,                0.80231,                0.66818,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5511,                0.87598,                 1.0479,                0.90208,                0.83443,                0.92991,                0.50192,                 1.0433,                0.76964,                0.65646,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5059,                 0.8334,                 1.0347,                0.87096,                0.86162,                0.91584,                0.53555,                0.97229,                0.63803,                0.64055,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5027,                0.83828,                 1.0326,                0.89357,                 0.8983,                  0.939,                0.55206,                0.96365,                0.72498,                0.60876,               0.001802,               0.001802,               0.001802
                     12,                 1.4521,                0.82123,                 1.0042,                0.93433,                0.92538,                0.97284,                0.60436,                0.86549,                0.56038,                0.60062,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4432,                 0.8048,                 1.0045,                0.93259,                0.89271,                0.96389,                 0.5779,                0.88695,                0.58937,                0.59423,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3882,                0.77984,                0.98281,                0.89472,                0.90821,                0.95968,                0.61428,                0.82579,                0.59925,                0.58387,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.374,                0.76908,                 0.9633,                0.90687,                0.93526,                 0.9712,                0.60961,                0.80681,                0.53388,                0.58104,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3553,                0.77238,                0.97462,                0.93708,                0.93252,                0.97914,                0.57593,                0.90817,                0.59481,                0.58298,               0.001703,               0.001703,               0.001703
                     17,                 1.3078,                0.74904,                0.95418,                0.89485,                0.93283,                0.97004,                0.65493,                0.76307,                0.52625,                0.56865,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3369,                0.74622,                0.95055,                 0.9458,                0.94438,                0.97599,                0.60597,                0.83781,                0.67838,                 0.5658,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2838,                0.72461,                0.94028,                0.94797,                0.93982,                0.98595,                0.64898,                 0.7373,                0.56121,                0.56346,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2493,                0.71141,                0.93643,                0.96909,                0.93465,                 0.9877,                0.67602,                0.69381,                0.50475,                0.55753,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2109,                0.68849,                0.92132,                0.96253,                0.96839,                0.99161,                0.70019,                0.68639,                0.47584,                0.55332,               0.001604,               0.001604,               0.001604
                     22,                 1.2085,                0.68107,                0.91665,                0.95552,                0.95335,                0.98974,                0.67414,                0.71073,                0.50968,                0.55896,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2034,                 0.6721,                0.90983,                0.96987,                0.95927,                 0.9917,                0.65121,                0.75298,                0.48946,                0.56284,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1939,                0.67859,                0.91247,                0.96118,                0.96326,                0.98951,                 0.6937,                0.65748,                0.45174,                0.54215,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1835,                0.66872,                0.90698,                0.95342,                0.96428,                0.98607,                0.67044,                0.72861,                0.63304,                 0.5462,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1698,                 0.6586,                0.91387,                 0.9786,                0.97276,                0.99266,                0.71704,                0.66581,                0.43131,                0.54663,               0.001505,               0.001505,               0.001505
                     27,                 1.1733,                0.66761,                0.90721,                0.95512,                0.97035,                0.98954,                0.70744,                 0.6853,                0.51273,                0.53894,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1243,                0.63053,                0.90817,                 0.9809,                0.98335,                0.99408,                0.71716,                0.63889,                0.55143,                0.54444,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1233,                0.63739,                0.89987,                0.97559,                0.98381,                0.99405,                0.75855,                0.58863,                0.41719,                0.53787,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1286,                0.63369,                0.89542,                 0.9864,                0.96444,                0.99378,                0.75975,                0.61286,                0.36743,                0.53554,              0.0014258,              0.0014258,              0.0014258
